,similarity,response_time
"(0, 1)",0.4489795918367347,3.2311815808216733
"(0, 2)",0.7244897959183674,3.528004049235939
"(0, 3)",0.8163265306122449,3.625825197465958
"(0, 4)",0.3469387755102041,3.4335764401998277
"(0, 5)",0.2857142857142857,3.4293498776175757
"(0, 6)",0.3979591836734694,3.3165920568549114
"(0, 7)",0.3673469387755102,3.897763204156307
"(0, 8)",0.6938775510204082,3.3780812695622444
"(0, 9)",0.4897959183673469,3.498983197044908
"(0, 10)",0.5816326530612245,3.6663061370534344
"(0, 11)",0.42857142857142855,3.715347961655685
"(0, 12)",0.336734693877551,3.5440660366969827
"(0, 13)",0.42857142857142855,3.630491363696563
"(0, 14)",0.336734693877551,3.7360523019806813
"(0, 15)",0.6122448979591837,3.5971790765013014
"(0, 16)",0.4897959183673469,3.6284792182826195
"(0, 17)",0.336734693877551,3.7036630651225213
"(0, 18)",0.5510204081632653,3.6921753493222322
"(0, 19)",0.5,3.371494771898255
"(0, 20)",0.46938775510204084,3.1705042493026867
"(0, 21)",0.16326530612244897,3.6477658157674675
"(0, 22)",0.46938775510204084,3.6242195235358343
"(0, 23)",0.30612244897959184,3.6395640473405853
"(0, 24)",0.6020408163265306,3.655130605576402
"(0, 25)",0.21428571428571427,3.4123393258428187
"(0, 26)",0.5714285714285714,3.781664700735183
"(0, 27)",0.5306122448979592,3.8018940938722103
"(0, 28)",0.15306122448979592,3.337791447965508
"(0, 29)",0.5408163265306123,3.678594911920613
"(0, 30)",0.6122448979591837,3.5188140263322922
"(0, 31)",0.29591836734693877,3.463474538591173
"(0, 32)",0.7653061224489796,3.6698110480057564
"(0, 33)",0.2857142857142857,3.6299808461491656
"(0, 34)",0.32653061224489793,3.909371509390362
"(0, 35)",0.17346938775510204,3.47128269313711
"(0, 36)",0.21428571428571427,3.5817146567361697
"(0, 37)",0.46938775510204084,3.6240072356803075
"(0, 38)",0.46938775510204084,3.482164442539215
"(0, 39)",0.5714285714285714,3.4329007690788336
"(0, 40)",0.5612244897959183,4.016200866174261
"(0, 41)",0.40816326530612246,3.785511263017732
"(0, 42)",0.37755102040816324,3.423073846404835
"(0, 43)",0.336734693877551,3.751748835091042
"(0, 44)",0.19387755102040816,3.6304474590080127
"(0, 45)",0.5408163265306123,3.6436563434901537
"(0, 46)",0.4897959183673469,3.397691964157044
"(0, 47)",0.41836734693877553,3.865727277178513
"(0, 48)",0.47959183673469385,3.721081943046756
"(0, 49)",0.35714285714285715,3.692245028235696
"(0, 50)",0.29591836734693877,3.7406161134703115
"(0, 51)",0.4897959183673469,3.5690216987297454
"(0, 52)",0.17346938775510204,3.2948863357305527
"(0, 53)",0.23469387755102042,3.7582649806650674
"(0, 54)",0.32653061224489793,3.3812867870697607
"(0, 55)",0.2857142857142857,3.529690273106098
"(0, 56)",0.2653061224489796,3.5441683783995366
"(0, 57)",0.1836734693877551,3.925823374416517
"(0, 58)",0.17346938775510204,3.331297902684463
"(0, 59)",0.23469387755102042,3.4576390207323255
"(0, 60)",0.20408163265306123,3.6477804672522622
"(0, 61)",0.23469387755102042,3.5771394445185076
"(0, 62)",0.11224489795918367,3.3163227377266717
"(0, 63)",0.2653061224489796,3.2269723200407183
"(0, 64)",0.17346938775510204,3.3888230977519864
"(0, 65)",0.32653061224489793,3.4251831739890477
"(0, 66)",0.12244897959183673,3.2758819826862267
"(0, 67)",0.20408163265306123,3.475689145234915
"(0, 68)",0.32653061224489793,3.5956363998168754
"(0, 69)",0.16326530612244897,3.49109967408982
"(0, 70)",0.1836734693877551,3.4675349867862204
"(0, 71)",0.2755102040816326,3.3804795373569836
"(0, 72)",0.1836734693877551,3.291563368449777
"(0, 73)",0.35714285714285715,3.6477565232076143
"(0, 74)",0.16326530612244897,3.524154722189703
"(0, 75)",0.1836734693877551,3.2830211158309663
"(0, 76)",0.24489795918367346,3.451592990645656
"(0, 77)",0.2755102040816326,3.318745326187651
"(0, 78)",0.30612244897959184,3.2139491150776545
"(0, 79)",0.2755102040816326,3.5119590485861543
"(0, 80)",0.2755102040816326,3.7276182174682617
"(0, 81)",0.35714285714285715,3.4824948980097186
"(0, 82)",0.1326530612244898,3.272541545205197
"(0, 83)",0.17346938775510204,3.2936610827843347
"(0, 84)",0.25510204081632654,3.73512696481384
"(0, 85)",0.2857142857142857,3.410753403391157
"(0, 86)",0.5204081632653061,3.6341072990183245
"(0, 87)",0.17346938775510204,3.419022070095602
"(0, 88)",0.16326530612244897,3.367596729805595
"(0, 89)",0.14285714285714285,3.4547342792287603
"(0, 90)",0.11224489795918367,3.4969807914179616
"(0, 91)",0.3673469387755102,3.4267951803547994
"(0, 92)",0.2755102040816326,3.741964121307947
"(0, 93)",0.25510204081632654,3.652018307629278
"(0, 94)",0.07142857142857142,3.3634679190448074
"(0, 95)",0.2755102040816326,3.511622116629001
"(0, 96)",0.3163265306122449,3.624155697176012
"(0, 97)",0.12244897959183673,3.2951898948620943
"(0, 98)",0.2653061224489796,3.7324605604012806
"(0, 99)",0.11224489795918367,3.2961859830788205
"(1, 2)",0.336734693877551,3.4882806638055595
